text,class
b'Terlalu enteng untuk Kevin. Jadi seneng bisa cepet tidur. \xf0\x9f\x98\x8d\n\n#ThomasCup2022 #ThomasUberCup2022 #ThomasCup #ThomasUberCup #badminton #BadmintonIndonesia #bulutangkis',bulutangkis
"b'Gara"" penasaran sama dr.strange 2 harus bgt nih marathon series marvel. Yaudahlah enjoyy'",film
b'Ga nonton thomas cup karena emang ga sempet kalo udh masa2 masuk kuliah tapi kalo malem menjelang tidur always liatin updatean + komen2 lucu BL indo',bulutangkis
"b'Korlap demonya mana nih..?? \nNggak tanggung jawab...!! \n\nDemonya protes pemerintah\nNuntut ini itu ke pemerintah, rusak fasilitas umm yg dibangun pemerintah\nHabis demo nggak bisa pulang, pemerintah yg nganterin\n\nSampai sini masih percaya mereka mewakili suara rakyat.?? \nMikiir..!? https://t.co/D8CCCWwc3U'",demokrasi
"b'Inget pas konser h@rry, ada yg ngedrag oknum tks gara2 dia bilang jungk00k pengang tangannya t@e, org yg ngedrag ini g percaya gara2 fotonya blur dan.... beberapa menit kemudian bang h0bi ngepost video dan disitu j3ka pegang tangan t4e beneran\xf0\x9f\x98\x82 mata tks itu tajem'",konser
b'Bilqis Prasista Mengejutkan Dunia Bulutangkis https://t.co/OgIbxADuwu',bulutangkis
"b'Foto-Foto Masjid Perahu, Destinasi Wisata Religi Tersembunyi di Jakarta\n\n#CelebritiesDotID #InfoCelebTerkini  \nhttps://t.co/MJcQfwR0ar'",wisata
b'Langganan netflix buat nonton film yg lgi rame \xe2\x9d\x8c\nLangganan netflix buat nonton barbie\xe2\x9c\x85',film
"b'IHSG turun, porto merah tp masih oke karena udh take profit sebelum lebaran. Tapi jangan tanya crypto. Dahlah bye bye dulu aja sampe nunggu akhir tahun \xf0\x9f\x98\x8c'",investasi
b'Sportiipstore juga menerima pembuatan jersey buat tim futsal dan sepakbola kalian ya #sportiipstore #murah #berkualitas',sepakbola
"b'Para influencer make up tuh, pas gaul skincare apa g takut gagal gitu ya, bikin kulit jd rusak. Resiko bgt'",kecantikan
b'KETAWA BANGET ADA 2 KUBU ada yang bilang vibes netflix banget ada yang bilang vibes rahul and the gang di film kuch kuch hota hai \xf0\x9f\x98\xad https://t.co/N7MR077WaH',film
"b'Malam Twips\nUdah Yaasinan, pantengin TL lagi rame bahas #FilmSrimulat ya?\n\nYuk daripada bete, #SaatnyaIndonesiaTertawa gimana kalau kita ke bioskop saja, soalnya Film Srimulat: Hil yang Mustahal sudah tayang mulai 19 Mei 2022 lho...\nYakin gak mau nonton? https://t.co/r3ipTINilS'",film
"b'Pemalang Nadulang, Wisata Alam Misteri Tersembunyi https://t.co/L7bDhO5xQd'",wisata
"b'Timnas Indonesia U-19 Menang Tanpa Kebobolan, Begini Respons Shin Tae-yong #LengkapCepatBeritanya #Bola #SepakBola #SepakbolaDunia #BolaDunia . https://t.co/IYqPlA5OOu'",sepakbola
"b'Jadi kapan Yu orang mau nonton #FilmSrimulat #SaatnyaIndonesiaTertawa ? di Bioskop kesiyangan kalian? ehhh kesayangan deng...\n\nFilm buatan kerja bareng @mncp_movie dan @idnpictures sungguh menyegarkan ibarat garis finish setelah pandemi, kita bisa tertawa bersama https://t.co/lXShTzIGvK'",film
b'Hasil Undian Sepak Bola SEA Games 2021: Indonesia Segrup dengan Vietnam\n\nBaca selengkapnya disini\nhttps://t.co/Ita4KXPfHp\n\n#MataIndonesia #SepakBola #SEAGames2021 #Vietnam #BeritaOlahraga',sepakbola
"b'sch! mau tanya dong, misalnya kita dpt univ swasta. kita mau ikut beasiswa dari luar buat nambah uang jajan tuh bisa ga si?'",beasiswa
b'Pengin nonton konser offline EXO\nPlease lah 2025 kebagian tiket',konser
"b'3 Kader Ditangkap, Ujung dari Aksi HMI Demo \nhttps://t.co/2CvreuEZOi https://t.co/0gIM9SyuSj'",demokrasi
b'Bisa merugi begitu musti cepetan diganti tuh\n#GuritaTelkom\nhttps://t.co/kesjamS5C5',investasi
b'Saya menjual Nano Spray Portable M... seharga Rp25.000. Dapatkan di Shopee sekarang! https://t.co/U7g1LG4R2j #ShopeeID https://t.co/IGR4nbfAXt',kecantikan
"b'Kalo nct 127 sama nct dream beneran konser di Indonesia, aku bingung bgt, dua\xe2\x80\x9d nya ada bias\xf0\x9f\xa5\xb2. Nct 127 ada Jungwoo, di dream ada Jeno'",konser
b'rehearsal konser besok ituuu ada yang buka sharing ga ya? \n\ntags. wtb want to buy tiket sharing rehearsal konser treasure concert',konser
"b'IHSG Sesi I Naik Tipis, Saham\xe2\x80\x93Saham \xe2\x80\x9cBig Caps\xe2\x80\x9d Masih Ramai Dilepas Asing https://t.co/kK3Vb9gC4d'",investasi
"b'Kenapa Mereka yg Unjuk Rasa, Gua yg malu...? https://t.co/64fTMNCDfQ'",demokrasi
b'Nahban mendapatkan beasiswa untuk masuk ke Pondok Pesantren Cendikia Amanah &amp; mendapatkan banyak penghargaan dari lomba fotografi dan hadroh.\n\nIkuti kisahnya dalam SAFAR pkl. 15.00 WIB hanya di RTV Makin Cakep\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n#RTVDigital #Safar #RTV https://t.co/8VHnUoiIai',beasiswa
"b'#WTS PRELOVED SKINCARE KINDY GLOW Silky Brightening &amp; Silky Hydrating Serum Lotion 50.000\n*pemakaian semuanya baru dua kali cmn seruas jari, isinya 100g bisa di kira-kira sendiri lah ya. tapi menurutku masih banyak kok! kapan lagi kalian bisa cobain lotion yg banyak review bagus https://t.co/1lZfRb5HXa'",kecantikan
b'Channel review skincare terpercaya https://t.co/DIUJT62FFy',kecantikan
b'Investasi retur tertinggi:\n\xe2\x9d\x8c Reksadana\n\xe2\x9d\x8c Crypto\n\xe2\x9d\x8c Saham\n\xe2\x9d\x8c Emas\n\xe2\x9c\x85 Sedekah',investasi
b'MBAK IRENE JUJUR KAMU MAKAN SKINCARE KAN?! CAKEP PISAN #INAfeelmyRedVelvet https://t.co/8D8R4FGSWW',kecantikan
b'menghibur diri bisa juga dg cara pergi ke tempat Wisata',wisata
"b'hai tampan, pasti lagi latian buat konser yaa ( \xc2\xb4\xe2\x88\x80\xef\xbd\x80) https://t.co/U9QkNw30Na'",konser
"b'Jadwal Siaran Langsung Badminton Thomas dan Uber Cup di iNews dan MNCTV Hari Ini, Minggu 8 Mei 2022 https://t.co/IPgVA4YzoU'",bulutangkis
"b'Gw mau kontribusi sesuatu buat negara gw lewat pemerintahan. Gw gak mau ada orang yang makan aja susah, gak mau kalo sekolah harus bayar, gak mau kalau uang pajak gak transparan sampe ke nota notanya.'",pajak
"b'Momennya pas banget kan. Bisa nobar di bioskop sambil nikmatin film berkualitas plus mengocok perut. Yuk lah nobar #FilmSrimulat #HilyangMustahal #SaatnyaIndonesiaTertawa\n\nSekalian ajak rekan2 seangkatan, seumuran atau sekampung juga boleh. Ya kan. https://t.co/DRWlO6ILVY'",film
b'kalo ewallet kena pajak yaudah hapusin aja aplikasinya \xf0\x9f\x99\x82.',pajak
b'6 Masjid Terapung di Indonesia yang Kerap Dijadikan Objek Wisata Religi https://t.co/jIdTzZark1',wisata
b'bisakah film di netflix di download',film
b'Disrupsi-Konsolidasi Demokrasi dan Demokrasi Prosedural-Substansial https://t.co/Mczqtkz9Qj',demokrasi
"b'""Serangan itu harus dihentikan karena sangat tidak sehat, merusak kehidupan sosial, menjadi racun buat demokrasi. PSI sejak awal menentang keras rasisme dan diskriminasi,"" kata Ketua Umum DPP PSI Bro Giring Ganesha. https://t.co/hkpzNv7JHf'",demokrasi
"b'""Kaum Sebrang"" sering melakukan mosi tdk percaya pd pemerintahan yg sah,tetapi selalu gagal,krn tdk pernah diRidhoi Allah, mengapa? krn diwarnai,""Ambisi"" kekuasaan.yg mengatasnamakan Demokrasi, Agama,dll.padahal Hawa Nafsunya yg dipuja,tujuannya perut juga.'",demokrasi
b'Nonton reels doang brebes mili \xf0\x9f\xa5\xb9\nKangen nonton konser + liat full orchestra ginii merinding \xf0\x9f\xa5\xb9\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\nhttps://t.co/VEKhzG2sGk',konser
b'Apa Aja Keuntungan Investasi Saham Blue Chip?\xc2\xa0\xef\xbf\xbc https://t.co/8mEStuWSYi',investasi
b'Kenapa daku tidak ditakdirkan untuk ploles \xf0\x9f\xa5\xb2 takpenah tinggai skincare routine tapi hmm hampeh \xf0\x9f\xa5\xb2 jerawat macam hujan baru ni',kecantikan
b'Moist nya glowinc buat barrier enak jg wanginya.... Jd kangen sm skincare yg ada wangi2 nenangin \xf0\x9f\xa5\xb2',kecantikan
b'https://t.co/QXSQJgHIux Aplikasi Beasiswa Menonjol di Tengah Peluang yang Sempit #VOAINDONESIA\n\nJOIN GRUP WA https://t.co/pjGq71Lsec',beasiswa
b'Penyisihan Ketiga Grup A Thomas Cup: Indonesia Juara Grup A Setelah Kalahkan Korea Selatan @INABadminton @bulutangkisRI @sinisukaanthony @kevinnsanjaya @FajarAlviaan \n\n#parboaboa #bulutangkis #bulutangkisri #ThomasCup2022 #ThomasCup #thomascupthailand \n https://t.co/LDQuS6wiQs',bulutangkis
"b'Tak semua tokoh perempuan dalam seri film Marvel memiliki kisah merana, tapi kebanyakan digambarkan bernasib tragis dan disakiti keluarganya. https://t.co/70D3JtIcqX'",film
"b'yg merasa ngga nyaman dg story igku sing wakeeeeeh selama update badminton musim Thomas Uber Cup iki, diunfoll aja gapapa.. beneran gapapa, sakno pean.. soale bakal sek belanjutt tros sampek nko SEA Games wkw \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x82\xf0\x9f\xa4\xa3'",bulutangkis
"b'IHSG Hari Ini Berpotensi Tertekan, Cermati Saham UNVR hingga BBCA - Economy Okezone #saham #investasi https://t.co/VuCUxxvnBl'",investasi
"b'Buset tadi bocil bangunin saur pake lagu ""Buruh, tani, mahasiwa, rakyat miskin kota"" berasa depan gedung DVR ,itu mao bangunin saur apa mao bersatu padu rebut demokrasi tong hebat bener,moga2 gedenya jadi penerus2 manusia kritis dalam bernegara. Amin'",demokrasi
"b'Kenapa IHSG Diprediksi Tidak Happy Weekend, Rekomendasi Saham ADRO hingga ANTM https://t.co/sVctPSkFjf'",investasi
"b'yang ranking 333 dunia aja bisa ngalahin yang ranking 1 dunia. emang bola itu bulat, etapi ini bulutangkis.... emang kok itu dekok.'",bulutangkis
"b'Pede! David Beckham yakin Harry Kane akan mampu membawa Inggris sukses di Piala Dunia Qatar 2022, simak videonya. \xf0\x9f\x98\x89 #WorldCup  https://t.co/cOIem13aDQ'",sepakbola
b'Disaat skincare abis barengan\xf0\x9f\x98\xad',kecantikan
"b'Piw! ada yg pernah apply beasiswa kse ? rep dongg, mau tau esainyaa'",beasiswa
b'info skincare yang mencerahkan masa depan',kecantikan
b'Punya Brevet tp masih bingung pajak-pajak. Malu bangetttttttt',pajak
b'Gokil ya isi emoney 200rb nambah pajak 22rb. Edan kitu.',pajak
"b'Terkoreksi 5 Hari Beruntun, IHSG Longsor ke Level 6.500-an https://t.co/iULZA0PrND'",investasi
b'Tapi percuma nonton konser kalau mata gw minus... Mana blm beli kacamata',konser
"b'Aku gabole nangis, sayang kan skincare ku :(('",kecantikan
b'Hai #TemanPemilih sebelum Pemilu 2024 jangan lupa untuk cek hak pilihmu dan orang terdekatmu apakah sudah terdaftar atau belum dengan cara megecek di aplikasi lindungihakmu yang bisa didownload di GooglePlay/PlayStore.\n\n#KPUMelayani #pemilu2024 https://t.co/DV4pZ6QEfl',demokrasi
"b'Pernah gak lo nonton unjuk rasa alias demonstrasi? Semakin orator bersuara lantang, para demonstran jadi semkain bersemangat. Ternyata musik dan yel-yel ngaruh ke emosi lo, Civs! Simak artikel di bawah ini. #Froyonion https://t.co/sJZl22fYke'",demokrasi
b'konser treasure kapan sih? yang online?????????????????',konser
"b'Bungkam Kamboja 11-2, Indonesia Lolos Semifinal AFF Futsal Championship 2022 Sebagai Runner-Up Grup #Olahraga #Sepakbola #TimnasIndonesia https://t.co/S8wCzkqVah'",sepakbola
b'Pesona indonesia Sulawesi Utara Gangga Satu https://t.co/yyomIYU8os',wisata
"b'Semakin sehat &amp; cantik dgn JAFRA..kosmetik dan skincare yg halal,aman, bpom, friendly busui dan bumil. for order or more info bundazafran'",kecantikan
"b'Maapin hamba yg selalu kalap jajan makeup\xe2\x98\xb9\xef\xb8\x8f\xe2\x98\xb9\xef\xb8\x8f dahal ga kmn""'",kecantikan
b'Cmon bulutangkis Indonesia',bulutangkis
b'Masih mau lanjut Demo?\xf0\x9f\x99\x84\nTERLALU \xf0\x9f\x98\xa4\n\nJokowi Gas Pol Demokrasi https://t.co/YIKqUtaPG7',demokrasi
b'Bobotoh Antusias Saksikan Uji Tanding Persib Bandung https://t.co/2umWnjGqBb',sepakbola
b'GA BOLEH SUUDZON GA BOLEH ASTAGHFIRULLAH GA BOLEH SUUDZON TAPI temen gue anak bidikmisi hpnya iphone 13 \xf0\x9f\x98\x81 ASTAGHFIRULLAH GA BOLEH SUUDZON \xf0\x9f\x98\x8a',beasiswa
b'Kemarin dengar2 ada yg menggagas Islam Merah Putih Kenapa begitu sempit sekali cara berpikirnya yg seakan akan hanya menjadikan Islam sebagai sumber masalah dan dgn mengotak atik Islam di anggap solusi dan tidak kah mampu melihat ada apa dgn demokrasi kita hari ini',demokrasi
"b'Jual barang hrs ada promosi apalagi jual jasa, jasa demo. Bayangin tuh bohir keluar duit berapa ratus juta lagi. CUAN....CUAN...\n https://t.co/yOkpvewKem'",demokrasi
b'Film KKN di Desa Penari menorehkan rekor baru di industri perfilman Indonesia. Film horor karya Awi Suryadi itu berhasil meraih 7 juta penonton dalam 19 hari penayangannya di bioskop. https://t.co/onipfV5X0M',film
b'Ini bener ga ya nje blg mau lg bikin in ear baru.. buat konser kali ya \xf0\x9f\xa5\xba',konser
"b'Nah mumpung keadaan skrg udah mulai aman, nobar film Srimulat brg keluarga, temen kantor, grup senam di kampung, temen2 sekolah, atau siapa pun, pasti lebih seru. Ngakaknya dijamin menggelegar di seluruh ruangan bioskop. :)\n\n#FilmSrimulat #HilyangMustahal #SaatnyaIndonesiaTertawa'",film
b'BMW E30 318i 1990 M/T\nVery Good Condition\nMesin Halus Kering\nInterior Original Mulus\nStir Mtech 2\nAc Dingin\nKaki-kaki Tidak Ada Bunyi\nAntena Masih Naik Turun\nPajak On Kaleng On Sampai 2025\nVelg Standart Ada\nLokasi Bogor\nHarga 73jt Nego Untuk yg Tau Kondisi\nwa : 082298216554 https://t.co/CHbBAMKBOR',pajak
b'Tidak semua Yahudi itu Israel \n\nSeorang Yahudi menginjak2 bendera Israel ketika ratusan pengunjuk rasa di kota New York AS mengorganisir demo pada hari Kamis untuk mengecam perlakuan terhadap warga Palestina oleh rezim Israel dan menyerukan diakhirinya pendudukan. https://t.co/XYc4pWsvBt',demokrasi
b'Makeup w udah on point bgt sayang apusnya \xf0\x9f\x98\xa5',kecantikan
b'Daftar Line Up Tim Bulu Tangkis Indonesia vs Singapura di Piala Thomas 2022: Anthony Ginting Tantang Loh Kean Yew #LengkapCepatBeritanya #Olahraga #Sport #Bulutangkis #Netting #Badminton . https://t.co/A6UkT50ffK',bulutangkis
"b'Km kalo misal dtng ke konser bangtan, tim pake outfit yg paling cantik/ yg unik?\xf0\x9f\xa4\xad'",konser
"b'Didapuk Sebagai Kapten Tim Jepang, Ini Ambisi Kento Momota di Piala Thomas 2022 #LengkapCepatBeritanya #Olahraga #Sport #Bulutangkis #Netting #Badminton . https://t.co/5oTK2TMGNF'",bulutangkis
"b'Chelsea vs Real Madrid akan tersaji nanti malam, The Blues menjadi unggulan dalam duel dengan El Real kali ini! \xf0\x9f\xa4\x94 #UCL  https://t.co/FdZdXwc0cx'",sepakbola
"b'5 Penyebab Liverpool Bantai Benfica di Leg I Perempatfinal Liga Champions 2021-2022, Nomor 1 Bantuan Pemain Anyar #LengkapCepatBeritanya #Bola #SepakBola #LigaChampion #ChampionsLeague . https://t.co/ShqVrOJdol'",sepakbola
"b'IHSG Turun 8,7 Persen Sepekan, Dana Asing Keluar dari Pasar Modal Mencapai Rp 9,11 Triliun https://t.co/PYYDBlgSo2'",investasi
b'Villarreal mengungguli Bayern Munich 1-0 pada babak pertama pertandingan Liga Champions. Gol The Yellow Submarine dicetak Arnaut Danjuma. https://t.co/PBzSMvZIUE',sepakbola
b'10 Tempat Wisata di Makassar yang Wajib Kalian Kunjungi https://t.co/aiTV5HwLQe',wisata
"b'pengen ikut salah satu program beasiswa, tapi  syaratnya;\ntag 5 teman di poster blablabla ,\nshare poster ke 5 grup whatsapp / line / telegram, \nupload twibbon di instagram pribadi, \nscreenshot point-pont tersebut dan simpan dalam format pdf'",beasiswa
"b'Indonesia Alami Kemunduran Demokrasi, Rezim Dikuasai Oligarki\nhttps://t.co/lB8190OdAD https://t.co/bEe7aTEFMr'",demokrasi
b'Tempat wisata asik.. https://t.co/P2MkCk6e2y',wisata
b'besok konser dispet ga siii',konser
"b'Pengelola tempat wisata, berwujud akuarium raksasa di pusat perbelanjaan di Jakarta Barat ini menghadirkan berbagai atraksi bernuansa Ramadan. https://t.co/ns6OyEQkD6 https://t.co/13SJUHEv04'",wisata
"b'Cristiano Ronaldo dikritik Wayne Rooney dan Jamie Carragher, yang menyebutnya sudah tak layak di Manchester United. CR7 melakukan serangan balik via Instagram! https://t.co/N5faQeQnuV'",sepakbola
b'Kenapa Sabtu ada kelas si\xf0\x9f\x98\xab kan mau nonton konser\xf0\x9f\x98\xad',konser
"b'Abis bukber ketemu temen2 SMA. Pada sukses2 ya, ada yg kuliah ke inggris, itali, australia, US, bahkan nerus kerja di sana. Gue masih gini2 aja :\xe2\x80\x9d\n\nYuk bisa yuk tahun depan dpt beasiswa S2 ke luar negeri. Dari dulu pengen banget nyicip sekolah di luar biar dapat perspektif beda.'",beasiswa
"b'Badminton Indonesia\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\n\nMenteri BUMN @erickthohir memberikan semangat kpd Tim Thomas dan Uber Indonesia yg akan bertanding di Thailand mulai Minggu, 8 Mei 2022.\n\nDengan adanya gelaran ini, diharapkan Tim Thomas dan Uber Bulutangkis Indonesia mendapat kemenangan\n#BangkitBersamaET https://t.co/zEgYwPEjgm'",bulutangkis
b'Saltyin aku dong. Aku anak beasiswa tapi males nugas. Gmn caranya biar rajin? Hehe. Pliss. [Cm]',beasiswa
b'Mostly mua yang makeup natural cantik manis look ni banyak area kl \xf0\x9f\xa5\xba',kecantikan
"b'Russia, Chinese, North Korea dan beberapa negara penganut Sosialis Komunis Atheis yah ngak jauh beda. Rakyatnya dibutakan oleh informasi, yang kritis dihilangkan nyawanya. Rakyat hanya boneka pemilu demokrasi ala Politbiro.'",demokrasi
"b'Mau bikin thread yg bermanfaat ah, krn ni akun awalnya akun ambis wkwk sekarang jadi akun sambat. Oke gue mau share pengalaman gue sampe bisa dapetin beasiswa kuliah full 4 taon.'",beasiswa
b'Muka lg gabaik baik aja pengen beli skincare tp kek males bgt????',kecantikan
b'Market Kripto dipaksa masuk lagi ke dalam Investasi Perbankan. Desentrelisasi coba dipaksa masuk ke sentralisasi dengan iming income yg stabil.\n\nSaatnya ga konsumtif',investasi
"b'Akomodasi perjalanan keagamaan dikenakan tarif PPN. Sementara itu, jasa keagamaannya seperti umrah dan haji tetap dibebaskan dari objek pajak. https://t.co/Kx8WjKozpV'",pajak
"b""antara seneng dan sedih. seneng karena bisa diterima dikerjaan, sedih karena gabisa nonton bangtan konser\xf0\x9f\x98\x94 but i'll try my best""",konser
b'Sebanyak delapan desa wisata (Desta) di Lampung Barat masuk nominasi Anugerah Desa Wisata Indonesia (ADWI) 2022.\xc2\xa0 #destinasiwisata https://t.co/w5yCoDZhzj',wisata
b'IHSG diprediksi Menguat. Secara teknikal candlestick membentuk long black body menembus support kuat lower Bollinger band mengindikasikan trend bearish. https://t.co/6y8u42s6z1',investasi
"b'Piala Thomas dan Uber 2022 akan digelar di Impact Arena, Bangkok, 8-15 Mei 2022. \n\nTim Piala Thomas 2022 akan berusaha untuk mempertahankan gelarnya berada di grup A bersama Korea Selatan, Thailand, dan Singapura.\n\n#ThomasUberCup #Indonesia #Bulutangkis #Infografis #BeritaSatu https://t.co/1awexjMRcI'",bulutangkis
"b'Tertundanya pengusutan kasus KM 50 bisa menjadi preseden buruk bagi iklim demokrasi di Indonesia.\n\n""Jadi semakin banyak kasus yang ditunda, semakin penundaan itu menimbulkan pengertian buruk bagi demokrasi\n#PembantaianKM50GuncangDunia'",demokrasi
b'CAPEKK BGT PUNYA HOBI DEMEN NONTON BULUTANGKIS CAPEKKKK BGT CAPEKKK',bulutangkis
b'Guys streaming bulutangkis yg free dimana ya? Ibuku nanya tapi karena aku ga pernah nonton jadi ga tau\xf0\x9f\x98\xad',bulutangkis
"b'Ke pasar bulu bawa belanjaan. \nSini nonton trailernya dulu, kita nonton #FilmSrimulat kemudian. \n\nYuk kita serbu bioskop nonton Film Srimulat bareng-bareng! \n#SaatnyaIndonesiaTertawa https://t.co/nnH9VTWGve'",film
b'Kominfo Tahun Ini Membuka Program Beasiswa Digital Talent Scholarship Dan Digital Leadership Academy https://t.co/TugojW8ZH4',beasiswa
b'Mau skincare Korea? Disini tempatnya. Murah &amp; ORI',kecantikan
b'Drakor di netflix banyak bgt ege kapan jdrama sm jmovies bisa sebanyak itu di netflix Udah mulai ada My Family dan yg lain di Disney Hotstar sie hewhewhew moga2 banyakin jdrama sm film jepun di sono wehe otw baibai netplik keknya',film
"b'Habis buka puasa Ramadan, tak lama kemudian Karim Benzema mencetak hat-trick! \xf0\x9f\x98\x82 #UCL  https://t.co/iUGX5YFLVi'",sepakbola
"b'Akibat kerugian investasi, laba usaha emiten berkode saham TLKM itu menciut dari posisi Rp8,38 triliun menjadi Rp7,85 triliun. Perlu adanya reformasi dalam perusahaan Telkom\n#BersihBersihTelkom\nRiriek Dirut Telkom\nhttps://t.co/sgKeVGfGfq'",investasi
"b'IHSG merah, semua porto membara \n#fuckk'",investasi
"b'Dewan Pimpinan Daerah\nPartai Demokrasi Indonesia Perjuangan Provinsi Jawa Barat Mengucapkan\n\nSelamat Hari Raya Idul Fitri 1443 Hijriah, Minal Aidin Wal Faidzin\nMohon Maaf Lahir dan Batin\n\n#HariRayaIdulFitri\n#PDIPerjuangan\n#PDIPerjuanganJabar\n\nhttps://t.co/rBs3rUl55O'",demokrasi
b'Bank Banten Kunjungi Samsat Bayah Guna Tingkatkan Pelayanan kepada Wajib Pajak ... https://t.co/umvdS3rx6e',pajak
"b'IHSG Hari Ini Diprediksi Melemah, Investor Cermati Saham ASII hingga GGRM #LengkapCepatBeritanya #Keuangan #Ekonomi #InfoSaham #HargaSaham . https://t.co/qO9xKLNBl1'",investasi
b'rekomendasi film di bioskop yang wajib kamu tonton bernama Film Srimulat : Hil yang Mustahal  nih guys.\n\n#FilmSrimulat #SaatnyaIndonesiaTertawa #HillYangMustahal https://t.co/mGMgrjvUbN',film
b'Polisi Ogah Minta Maaf ke Abdul Manaf Setelah Sempat Dijadikan Tersangka https://t.co/loB9hp1pRA',demokrasi
b'Bahan Kebutuhan Pokok Bebas PPN? Ini Penjelasan Ditjen Pajak https://t.co/H5XgzrhLpq',pajak
"b'Coba aja deh beli tiket nonton di bioskop mulai 19 Mei, pilih film Srimulat dan rasakan sendiri hiburan khas Indonesia yang bikin ketawa bareng, ketawanya alami sealami lawakannya . Yuk nonton #FilmSrimulat #SaatnyaIndonesiaTertawa #HilYangMustahal'",film
"b'MuslimahNews \xe2\x80\x93 Katanya, dalam sistem demokrasi, kedaulatan berada di tangan rakyat. Faktanya, berada di tangan segelintir orang. Kebijakan penguasa justru sering berkebalikan dengan kehendak rakyat. Inikah yang disebut rakyat sebagai sumber kekuasaan? \nhttps://t.co/9vyJsoM3aK https://t.co/o5JCEVHuyc'",demokrasi
b'[INFO BEASISWA]\n\nProgram Djarum Beasiswa Plus merupakan beasiswa prestasi yang memberikan kesempatan bagi mahasiswa dari berbagai jurusan yang tengah menempuh program studi Strata 1/ Diploma 4 di perguruan tinggi negeri maupun swasta yang memiliki kerja sama (bermitra) dengan https://t.co/RhZACqrXnE',beasiswa
"b'Setelah Bruno dan Marukawa, Samsul Arif Juga Tinggalkan Persebaya https://t.co/oPveBfb4qf'",sepakbola
b'takut deh mau namatin modern family t______t gue jadi kea gaada film buat ditonton gt HAMPA BGT sama kayak abis namatin b99 t______t kayak anjing btw s8nya b99 gaada di netflix mulu bete',film
"b'Tipe trader saham apakah kamu?\n\nTernyata mengetahui tipe trader itu penting lho, karena ini berpengaruh pada strategi, toleransi risiko, dan hal-hal lainnya saat kamu berinvestasi. \n\nNah, coba cek yang satu ini, kira-kira kamu termasuk yang mana? https://t.co/hXgBqursU2'",investasi
"b'-tsk Aku penasaran bgt deh sama perawatan kulitnya I.N dia tuh punya kulit yg putih, halus gtu ga sih? Jadi inget dlu ada staf expo Dubai yg bilang kulit I.N tuh woww bgt, kira2 perawatannya apa ya? @Stray_Kids https://t.co/0p9BPYAmpI'",kecantikan
"b'Dengan harapan menjadi mesin gol Juventus, Dusan Vlahovic malah seret gol, nih! #SerieA  https://t.co/9gIH5Wy3f5'",sepakbola
